industrial,homebrew,capacitive,timestamp
1005.0000,240,0,2015-01-28T01:51:58.376Z
997.0000,239,0,2015-01-28T01:51:54.760Z
1004.0000,240,0,2015-01-28T01:51:51.125Z
1007.0000,240,0,2015-01-28T01:51:47.499Z
1001.0000,240,0,2015-01-28T01:51:43.872Z
1004.0000,239,0,2015-01-28T01:51:40.246Z
999.0000,239,0,2015-01-28T01:51:36.621Z
1000.0000,239,0,2015-01-28T01:51:32.245Z
1004.0000,240,0,2015-01-28T01:51:28.619Z
1004.0000,240,0,2015-01-28T01:51:24.994Z
1002.0000,240,0,2015-01-28T01:51:21.367Z
1002.0000,241,0,2015-01-28T01:51:17.378Z
998.0000,240,0,2015-01-28T01:51:12.619Z
997.0000,240,0,2015-01-28T01:51:07.935Z
1000.0000,241,0,2015-01-28T01:51:04.238Z
1000.0000,240,0,2015-01-28T01:51:00.613Z
1004.0000,240,0,2015-01-28T01:50:56.987Z
999.0000,241,0,2015-01-28T01:50:53.367Z
999.0000,240,0,2015-01-28T01:50:49.733Z
1003.0000,240,0,2015-01-28T01:50:46.108Z
995.0000,239,0,2015-01-28T01:50:42.232Z
1003.0000,241,0,2015-01-28T01:50:38.607Z
1007.0000,241,0,2015-01-28T01:50:34.982Z
998.0000,240,0,2015-01-28T01:50:31.355Z
1005.0000,241,0,2015-01-28T01:50:27.728Z
1003.0000,241,0,2015-01-28T01:50:24.102Z
998.0000,240,0,2015-01-28T01:50:20.476Z
992.0000,240,0,2015-01-28T01:50:15.600Z
990.0000,240,0,2015-01-28T01:50:11.724Z
999.0000,241,0,2015-01-28T01:50:08.104Z
999.0000,241,0,2015-01-28T01:50:05.861Z
999.0000,241,0,2015-01-28T01:49:59.221Z
1001.0000,241,0,2015-01-28T01:49:55.595Z
1005.0000,241,0,2015-01-28T01:49:51.970Z
999.0000,241,0,2015-01-28T01:49:48.344Z
999.0000,241,0,2015-01-28T01:49:43.593Z
1002.0000,241,0,2015-01-28T01:49:39.966Z
1000.0000,241,0,2015-01-28T01:49:36.399Z
1002.0000,241,0,2015-01-28T01:49:32.715Z
1005.0000,242,0,2015-01-28T01:49:29.090Z
1000.0000,242,125,2015-01-28T01:49:25.462Z
1001.0000,242,123,2015-01-28T01:49:21.838Z
994.0000,241,124,2015-01-28T01:49:18.211Z
994.0000,242,121,2015-01-28T01:49:14.585Z
1004.0000,243,122,2015-01-28T01:49:10.965Z
1002.0000,242,122,2015-01-28T01:49:07.334Z
992.0000,242,122,2015-01-28T01:49:03.707Z
1001.0000,243,0,2015-01-28T01:48:59.273Z
998.0000,243,119,2015-01-28T01:48:46.953Z
1002.0000,243,0,2015-01-28T01:48:43.702Z
991.0000,242,-2,2015-01-28T01:48:28.198Z
1002.0000,243,-2,2015-01-28T01:48:23.071Z
1002.0000,244,-2,2015-01-28T01:48:17.445Z
999.0000,243,-2,2015-01-28T01:48:10.944Z
1002.0000,243,-2,2015-01-28T01:48:05.818Z
990.0000,243,-2,2015-01-28T01:48:00.692Z
999.0000,243,-2,2015-01-28T01:47:55.565Z
997.0000,243,-2,2015-01-28T01:47:50.439Z
